sub01 sub02 sub03 sub04 sub05 sub06 sub07 sub08 sub09 sub10 sub11 sub12 sub13 sub14 sub15 sub16 biophys
1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
2 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
3 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1
4 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1
5 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1
6 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1
7 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1
8 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1
9 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1
10 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1
11 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1
12 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1
13 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1
14 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1
15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1
16 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1
17 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1
18 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1
19 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 -1
20 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 -1
21 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 -1
22 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 -1
23 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 -1
24 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 -1
25 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 -1
26 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 -1
27 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 -1
28 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 -1
29 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 -1
30 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 -1
31 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 -1
32 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 -1
