"","runtype","subject","roi","accuracy","kappa","alpha","lambda","percent.features"
"1","Questions","tb9226","L OFA",0.533630952380952,0.0716392036305079,0,28.9529406666455,100
"2","Questions","tb9226","L FFA",0.781488095238095,0.558629053072531,0.9,0.0675738322271658,3.46020761245675
"3","Questions","tb9226","L vATL",0.664761904761905,0.338075692262649,0,9.70805038874336,100
"4","Questions","tb9226","R OFA",0.753809523809524,0.503475166379514,1,0.0366625280592071,6.28019323671498
"5","Questions","tb9226","R FFA",0.535535714285714,0.0667291645552515,0,7.13711062779736,100
"6","Questions","tb9226","R vATL",0.57547619047619,0.151845084062475,1,0.00167972913962583,16.4609053497942
"7","Questions","tb9253","L OFA",0.555119047619048,0.105489062306454,0,28.9181700958507,100
"8","Questions","tb9253","L FFA",0.581666666666667,0.164734499960587,0.1,0.0795417061360971,53.6082474226804
"9","Questions","tb9253","L vATL",0.579583333333333,0.16265584045584,0.5,0.00408870432423764,42.1875
"10","Questions","tb9253","R OFA",0.613095238095238,0.233263218584958,0.1,0.163538804599667,39.0438247011952
"11","Questions","tb9253","R FFA",0.656190476190476,0.312765042847651,1,0.011712051892048,11.913357400722
"12","Questions","tb9253","R vATL",0.708511904761905,0.41455989324685,0.7,0.227468762526771,0.766283524904214
"13","Questions","tb9276","L OFA",0.527083333333333,0.05576755740234,1,0.0148500378063177,10.223642172524
"14","Questions","tb9276","L FFA",0.68125,0.360660724299855,0.1,0.0144541747485109,65.4088050314465
"15","Questions","tb9276","L vATL",0.672083333333333,0.344219252727948,0.7,0.00623440040268047,19.5205479452055
"16","Questions","tb9276","R OFA",0.527142857142857,0.0482339042599912,0.9,0.00317538733375867,15.1960784313725
"17","Questions","tb9276","R FFA",0.514285714285714,0,0.1,98.2118682369891,0
"18","Questions","tb9276","R vATL",0.67125,0.336880743893787,0.3,0.106948392532263,16.4233576642336
"19","Questions","tb9325","L OFA",0.609404761904762,0.215586091686092,0,6.63567645275942,100
"20","Questions","tb9325","L FFA",0.690892857142857,0.381101070909767,0.1,0.180625654523309,44.2148760330579
