"","sub","tb","day","version","condition","order","faceid","name","occupation","homestate","total","prop"
"1","sub01","tb9253",1,1,"bio",59,1,1,1,1,3,1
"2","sub01","tb9253",1,1,"bio",39,2,1,1,1,3,1
"3","sub01","tb9253",1,1,"bio",30,3,0,1,0,1,0.333
"4","sub01","tb9253",1,1,"bio",67,4,1,1,1,3,1
"5","sub01","tb9253",1,1,"bio",14,5,0,0,0,0,0
"6","sub01","tb9253",1,1,"bio",31,6,0,0,0,0,0
"7","sub01","tb9253",1,1,"bio",23,7,0,0,0,0,0
"8","sub01","tb9253",1,1,"bio",21,8,1,1,0,2,0.667
"9","sub01","tb9253",1,1,"bio",41,9,0,1,1,2,0.667
"10","sub01","tb9253",1,1,"bio",51,10,0,0,0,0,0
"11","sub01","tb9253",1,1,"bio",66,11,1,1,1,3,1
"12","sub01","tb9253",1,1,"bio",50,12,0,0,0,0,0
"13","sub01","tb9253",1,1,"bio",45,13,0,0,0,0,0
"14","sub01","tb9253",1,1,"bio",12,14,0,0,0,0,0
"15","sub01","tb9253",1,1,"bio",25,15,0,0,0,0,0
"16","sub01","tb9253",1,1,"bio",4,16,0,0,0,0,0
"17","sub01","tb9253",1,1,"bio",5,17,0,0,0,0,0
"18","sub01","tb9253",1,1,"bio",29,18,1,1,1,3,1
"19","sub01","tb9253",1,1,"bio",20,19,0,1,0,1,0.333
"20","sub01","tb9253",1,1,"bio",35,20,0,0,0,0,0
"21","sub01","tb9253",1,1,"bio",9,21,0,1,0,1,0.333
"22","sub01","tb9253",1,1,"bio",13,22,0,0,0,0,0
"23","sub01","tb9253",1,1,"bio",64,23,1,1,1,3,1
"24","sub01","tb9253",1,1,"bio",68,24,0,0,0,0,0
"25","sub01","tb9253",1,1,"bio",24,25,0,0,0,0,0
"26","sub01","tb9253",1,1,"bio",36,26,0,0,0,0,0
"27","sub01","tb9253",1,1,"bio",55,27,0,0,0,0,0
"28","sub01","tb9253",1,1,"bio",38,28,1,1,1,3,1
"29","sub01","tb9253",1,1,"bio",26,29,1,1,1,3,1
"30","sub01","tb9253",1,1,"bio",6,30,0,0,0,0,0
"31","sub01","tb9253",1,1,"bio",44,31,0,0,0,0,0
"32","sub01","tb9253",1,1,"bio",65,32,1,1,1,3,1
"33","sub01","tb9253",1,1,"bio",3,33,0,0,1,1,0.333
"34","sub01","tb9253",1,1,"bio",46,34,1,0,1,2,0.667
