"","Subject","RunType","Run","Trial","StimID","Type","Question","Onset","Resp","RT"
"1","tb9226","NoQuestions",1,1,21,"bio","job",1.013,"NoResp",0
"2","tb9226","NoQuestions",1,2,8,"bio","place",16.028,"NoResp",0
"3","tb9226","NoQuestions",1,3,38,"phys","race",34.044,"NoResp",0
"4","tb9226","NoQuestions",1,4,42,"phys","gender",50.048,"NoResp",0
"5","tb9226","NoQuestions",1,5,16,"bio","place",67.072,"NoResp",0
"6","tb9226","NoQuestions",1,6,68,"phys","ec",81.083,"NoResp",0
"7","tb9226","NoQuestions",1,7,67,"phys","ec",96.094,"NoResp",0
"8","tb9226","NoQuestions",1,8,4,"bio","name",111.108,"NoResp",0
"9","tb9226","NoQuestions",1,9,2,"bio","job",127.129,"NoResp",0
"10","tb9226","NoQuestions",1,10,70,"phys","ec",143.139,"NoResp",0
"11","tb9226","NoQuestions",1,11,30,"bio","name",160.16,"NoResp",0
"12","tb9226","NoQuestions",1,12,31,"bio","name",178.176,"NoResp",0
"13","tb9226","NoQuestions",1,13,26,"bio","job",196.193,"NoResp",0
"14","tb9226","NoQuestions",1,14,52,"phys","gender",210.207,"NoResp",0
"15","tb9226","NoQuestions",1,15,72,"phys","race",227.228,"NoResp",0
"16","tb9226","NoQuestions",1,16,22,"bio","place",244.245,"NoResp",0
"17","tb9226","NoQuestions",1,17,46,"phys","race",259.259,"NoResp",0
"18","tb9226","NoQuestions",1,18,40,"phys","gender",275.28,"NoResp",0
"19","tb9226","NoQuestions",2,1,18,"bio","job",1.016,"NoResp",0
"20","tb9226","NoQuestions",2,2,65,"phys","race",17.026,"NoResp",0
"21","tb9226","NoQuestions",2,3,44,"phys","gender",31.041,"NoResp",0
"22","tb9226","NoQuestions",2,4,12,"bio","place",45.053,"NoResp",0
"23","tb9226","NoQuestions",2,5,39,"phys","race",60.063,"NoResp",0
"24","tb9226","NoQuestions",2,6,25,"bio","name",76.087,"NoResp",0
